id,name,subsequence_number,category_id,image_link,description,price
109,Wok сытный М,9,5,https://sushiwok.ru/img/95ba02e03001dc0945f9a6a98e231fe2,"лапша удон, бекон, цыпленок, шампиньоны, чеснок, сливочный соус, кунжут 200 г",349
110,Wok сытный L,10,5,https://sushiwok.ru/img/48b668609bd8b9e73249e7bd537ee81a,"лапша удон, бекон, цыпленок, шампиньоны, чеснок, сливочный соус, кунжут 340 г",449
111,Wok по-китайски М,11,5,https://sushiwok.ru/img/b7da792569a1bb415629f1ccd4ec51de,"лапша удон, цыпленок, перец болгарский, чеснок, лук репчатый, кинза, соус ширачи, соус пикантный, амой соус 190 г",223
112,Wok по-китайски L,12,5,https://sushiwok.ru/img/559b1823519bbd9b7263195b36cb0513,"лапша удон, цыпленок, перец болгарский, чеснок, лук репчатый, кинза, соус ширачи, соус пикантный, амой соус 320 г",409
113,Wok морской М,13,5,https://sushiwok.ru/img/8a147cc94b472b947fba8a621bc5f89e,"лапша удон, рыба красная, креветка тигровая, перец болгарский, огурец, лук репчатый, чеснок, сливочный соус 200 г",399
114,Wok морской L,14,5,https://sushiwok.ru/img/cbba3965804ffe165af0cee5c492558f,"лапша удон, рыба красная, креветка тигровая, перец болгарский, огурец, лук репчатый, чеснок, сливочный соус 310 г",499
115,Рис с цыпленком в китайском соусе Wok М,15,5,https://sushiwok.ru/img/7e5dbe7913385abe4ce8f92f397ec48a,"рис, цыпленок, лук репчатый, яйцо, чеснок, амой соус 250 г",319
116,Рис с цыпленком в китайском соусе Wok L,16,5,https://sushiwok.ru/img/d221ee9ea9f6faafe53590a26d3327ef,"рис, цыпленок, лук репчатый, яйцо, чеснок, амой соус 440 г",327
117,Wok вегетарианский М,17,5,https://sushiwok.ru/img/1d4192454070dea838efd736198bb117,"лапша удон, капуста, шампиньоны, морковь, перец болгарский, огурец, томаты черри, лук репчатый, терияки соус, кунжут 225 г",249
118,Wok вегетарианский L,18,5,https://sushiwok.ru/img/d5ca5ca59deb55f252079370b232a71c,"лапша удон, капуста, шампиньоны, морковь, перец болгарский, огурец, томаты черри, лук репчатый, терияки соус, кунжут 370 г",339
119,Wok вегетарианский c рисом L,19,5,https://sushiwok.ru/img/f9dd9ce0c30dd82341e6c0abf9621020,"рис, шампиньоны, томаты черри, огурец, лук репчатый, перец болгарский, капуста, морковь, терияки соус, кунжут 420 г",339
120,Рамэн вегетарианский с грибами шиитаке,1,6,https://sushiwok.ru/img/649a2f2176dbbe65f9517f6f3c97b696,"лапша удон, мисо бульон, грибы шиитаке, сыр тофу, морковь, лук зеленый, водоросли вакамэ, нори 500 г",289
121,Wok вегетарианский М,2,6,https://sushiwok.ru/img/1d4192454070dea838efd736198bb117,"лапша удон, капуста, шампиньоны, морковь, перец болгарский, огурец, томаты черри, лук репчатый, терияки соус, кунжут 225 г",249
122,Wok вегетарианский L,3,6,https://sushiwok.ru/img/d5ca5ca59deb55f252079370b232a71c,"лапша удон, капуста, шампиньоны, морковь, перец болгарский, огурец, томаты черри, лук репчатый, терияки соус, кунжут 370 г",339
123,Ролл с огурцом,4,6,https://sushiwok.ru/img/38be000f5ecdb570eebfa5e3dc036dd7,огурец 102 г,159
124,Вегетарианский сет,5,6,https://sushiwok.ru/img/de234299639c9427cc89c0fdcd34036d,"овощной ролл, ролл с авокадо, ролл с огурцом, суши чука 2 шт. 411 г",499
125,Овощной ролл,6,6,https://sushiwok.ru/img/54c894a3333373c3ffbbb98de373b9eb,"авокадо, перец болгарский, огурец, салат айсберг, сладкий чили соус 147 г",229
126,Ролл с авокадо,7,6,https://sushiwok.ru/img/282b3ad4ce35f3b8f90a806b9736a73d,авокадо 102 г,179
127,Витаминный,8,6,https://sushiwok.ru/img/cbff1666104f0ce6b007c61717f57e21,"капуста, морковь, заправка легкая, кунжут 200 г",129
128,Мисо,9,6,https://sushiwok.ru/img/79072ee0fcb811959bf9dea3fbd7706a,"мисо бульон, грибы намеко, сыр тофу, водоросли вакамэ, лук зеленый 310 г",159
129,Чука салат,10,6,https://sushiwok.ru/img/117733820224d60fcdf96bb278d5d584,"водоросли чука, кунжут, лимон, ореховый соус 152 г",279
130,Wok вегетарианский c рисом L,11,6,https://sushiwok.ru/img/f9dd9ce0c30dd82341e6c0abf9621020,"рис, шампиньоны, томаты черри, огурец, лук репчатый, перец болгарский, капуста, морковь, терияки соус, кунжут 420 г",339
131,Супер четверка,1,7,https://sushiwok.ru/img/0970a784ff884c641aad6109d6359d52,"аль-Шам на тонком тесте 25 см, карбонара на тонком тесте 25 см, прошутто фунги на пышном тесте 25 см, четыре сыра на тонком тесте 25 см 1550 г",1349
132,Дайте две,2,7,https://sushiwok.ru/img/23917ba83cb666a7062135a309c09b87,"Прошутто фунги на пышном тесте 25 см, Аль-Шам на тонком тесте 25 см 890 г",699
133,Сытное трио,3,7,https://sushiwok.ru/img/f25d52bc0de70162660e52b02e39176f,"Четыре сыра на тонком тесте 25 см, дракон на пышном тесте 25 см, Прошутто фунги на пышном тесте 25 см 1260 г",1049
134,Чикен барбекю на пышном тесте 25 см,4,7,https://sushiwok.ru/img/3bcaf777195515811a7381e16bbe2d35,"цыпленок копченый, бекон, моцарелла, шампиньоны, пармезан, лук красный, сливочно-чесночный соус, соус барбекю 490 г",399
135,Деревенская на пышном тесте 25 см,5,7,https://sushiwok.ru/img/9bb5b654c8470b7a6a4a3c4a95b434ed,"ветчина, бекон, моцарелла, шампиньоны, пармезан, лук красный, лук репчатый, пицца-соус 470 г",399
136,Аль-Шам на тонком тесте 25 см,6,7,https://sushiwok.ru/img/6778d0e9dafb317278736d9a4f3e3460,"цыпленок, томаты, моцарелла, свежий огурец, салат айсберг, лук репчатый, кетчуп, сливочно-чесночный соус 390 г",389
137,Дракон на пышном тесте 25 см,7,7,https://sushiwok.ru/img/b62eeec58dc10eb84571a1009123d5d5,"пепперони, ветчина, моцарелла, шампиньоны, перец болгарский, пармезан, лук красный, халапеньо, пицца-соус 460 г",379
138,Пепперони на пышном тесте 25 см,8,7,https://sushiwok.ru/img/c5bb19e467b714fe2e53344556f39e92,"пепперони, пицца-соус, моцарелла 410 г",349
139,Прошутто фунги на пышном тесте 25 см,9,7,https://sushiwok.ru/img/946e5fa4fc9d916117d2b13a335f4427,"ветчина, грибы шампиньоны, пицца-соус, моцарелла 410 г",349
140,Четыре сыра на пышном тесте 25 см,10,7,https://sushiwok.ru/img/4d20369736e26948134589058b72c4f5,"сыр гауда, сыр дорблю, соус песто, моцарелла, пармезан 390 г",379
141,Жюльен на пышном тесте 25 см,11,7,https://sushiwok.ru/img/aa8f9d63c5bdb58fde43736b52ef2fdf,"цыпленок копченый, яйцо, лук репчатый, соус грибной, моцарелла 520 г",399
142,Карбонара на тонком тесте 25 см,12,7,https://sushiwok.ru/img/b4649a6f0f9370c6d66b64df32f34e25,"бекон, моцарелла, лук красный, пармезан, сливочно-чесночный соус 280 г",379
143,Петровская на пышном тесте 25 см,13,7,https://sushiwok.ru/img/4c7ace69bd3fd72663437f0b744f010f,"цыпленок, пепперони, ветчина, моцарелла, шампиньоны, пармезан, томаты, лук красный, пицца-соус 490 г",419
144,Четыре сезона на тонком тесте 25 см,14,7,https://sushiwok.ru/img/8650085fa6302c11e8b969952d57039f,"пепперони, ветчина, цыпленок копченый, бекон, моцарелла, лук красный, пицца-соус 310 г",379
145,Гавайская на пышном тесте 25 см,15,7,https://sushiwok.ru/img/f664eaaedea450466d687f35c2031175,"цыпленок копченый, ветчина, креветка салатная, ананас, фирменный соус, моцарелла 430 г",399
146,Маргарита на пышном тесте 25 см,16,7,https://sushiwok.ru/img/36741d9e8d5d7b96689d123a91d9a9e1,"базилик, пицца-соус, моцарелла 330 г",299
147,Витаминный,1,8,https://sushiwok.ru/img/cbff1666104f0ce6b007c61717f57e21,"капуста, морковь, заправка легкая, кунжут 200 г",129
148,Мидии запеченные,2,8,https://sushiwok.ru/img/f3f81f0257de869711622472ef38e1bf,"мидии, яки соус, лимон 150 г",399
149,Мидии спайси,3,8,https://sushiwok.ru/img/974b42e42111b2f0787a59c30b3dc94d,"мидии, спайси соус, лимон 150 г",399
150,Чука салат,4,8,https://sushiwok.ru/img/117733820224d60fcdf96bb278d5d584,"водоросли чука, кунжут, лимон, ореховый соус 152 г",279
151,Том ям с цыпленком,1,9,https://sushiwok.ru/img/d600aa27e7920ff7d425f8cd87ad453a,"цыпленок, шампиньоны, бульон том ям, томаты черри, кинза, сливки 360 г",389
152,Том ям с креветками,2,9,https://sushiwok.ru/img/ba94143cdf59e06a7055469d6b5dbe4d,"креветка тигровая, шампиньоны, бульон том ям, томаты черри, кинза, сливки 360 г",439
153,Рамэн с цыпленком,3,9,https://sushiwok.ru/img/e535172695013a873413569cb3f1171b,"лапша удон, цыпленок, мисо бульон, грибы шиитаке, сыр тофу, морковь, лук зеленый, водоросли вакамэ, нори 530 г",339
154,Рамэн вегетарианский с грибами шиитаке,4,9,https://sushiwok.ru/img/649a2f2176dbbe65f9517f6f3c97b696,"лапша удон, мисо бульон, грибы шиитаке, сыр тофу, морковь, лук зеленый, водоросли вакамэ, нори 500 г",289
155,Кимчи,5,9,https://sushiwok.ru/img/cf8509a7395943895e2fb32bc3df780e,"мисо бульон, яйцо, сыр тофу, водоросли вакамэ, кимчи соус, кунжут 310 г",179
156,Куриный,6,9,https://sushiwok.ru/img/da8b0115e577539cc7deeea974b323fe,"куриный бульон, рис, цыпленок, лук зеленый 300 г",159
157,Мисо,7,9,https://sushiwok.ru/img/79072ee0fcb811959bf9dea3fbd7706a,"мисо бульон, грибы намеко, сыр тофу, водоросли вакамэ, лук зеленый 310 г",159
158,Норвежский суп,8,9,https://sushiwok.ru/img/92ac013d7eba40db25b7be777770137a,"рыба красная, мисо бульон, сливки, водоросли вакамэ, рис, лук зеленый 310 г",179
159,Спешл,9,9,https://sushiwok.ru/img/6dae986521c987201ebda9cc514ed265,"креветки, рыба красная, рис, терияки соус, унаги соус, яки соус, укроп 229 г",399
160,Бизнес Ланч №1,1,10,https://sushiwok.ru/img/160c658f1fb331ae0be11a970a496b92,"салат Витаминный, суп Мисо, рис с цыпленком в китайском соусе М 760 г",349
161,Бизнес-ланч №3 с coca-cola 0.5 л,2,10,https://sushiwok.ru/img/6d3c94e9c14abdb6ab0cedeccf247b6b,"wok классический M, coca-cola 0.5 л, суп Мисо, ролл Аяши 714 г",449
